,X,Y,Facies,Porosity,Perm,AI,Wts
99,30.0,789.0,0.0,0.1141402487682563,0.5969339169900965,5696.206914340451,1.1006773920125217
105,10.0,39.0,0.0,0.1289141194615904,0.04974377660139785,6602.075197259516,7.166908411636673
112,420.0,499.0,0.0,0.11303041361019693,1.5663279388817684,5599.367916314322,0.5338024163706157
114,50.0,279.0,0.0,0.11489441125863943,0.6506176602280531,7911.757046077548,1.7124052821272926
128,30.0,279.0,0.0,0.0606929054762965,0.0769187106008128,6766.209723030281,2.4822916457636564
132,690.0,9.0,0.0,0.10036748626993232,0.035402229967748784,6243.006705689749,1.7576555031919197
146,450.0,489.0,0.0,0.11143261406513856,21.212489699787984,5306.266329345652,0.5073633919803715
147,810.0,39.0,0.0,0.12645147128201836,0.2616539385745659,5955.794731805289,2.2726051368915527
149,690.0,59.0,0.0,0.1335808402636593,0.2985205994970006,5381.800393223432,1.2365016570380736
151,820.0,509.0,0.0,0.08240947274984198,6.621472244431393,6716.960612088968,0.7375071052825987
154,290.0,209.0,0.0,0.14829869949724905,22.245859027027493,5355.747087716299,0.7970635915920439
164,980.0,369.0,0.0,0.1183975238851717,10.608151022703096,7005.170569446023,1.8340754985754955
174,450.0,499.0,0.0,0.10484973420912644,11.605383191006649,4800.583523295901,0.5073633919803715
178,930.0,79.0,0.0,0.16093715216411694,2.6488703982297763,6266.606356096454,2.1250846780135597
184,820.0,99.0,0.0,0.14096384847837196,0.7659661024574553,7102.833434720759,1.2739199517063693
193,160.0,769.0,0.0,0.10336450247359318,5.368072508148979,5574.433665959774,0.8787342252256044
196,100.0,809.0,0.0,0.12361549079100302,0.14845405206850668,3872.3141421389855,1.0277214937441235
197,710.0,739.0,0.0,0.11432818012284275,6.8135914307050225,4553.660732705827,0.671216923284719
198,190.0,639.0,0.0,0.11334121293950035,5.326512602731178,4763.168783551742,0.8180453636685607
199,170.0,769.0,0.0,0.10151172869078376,1.5913603754905354,5049.577651547457,0.8013754511871429
200,920.0,339.0,0.0,0.08700778778269683,4.728589460093064,6627.006895866001,0.9930600325600331
206,500.0,969.0,0.0,0.11000376743916697,101.13813202606626,5880.059573298442,2.277829694821865
210,10.0,269.0,0.0,0.12758396173809694,0.2680763917823231,7253.7885258808765,2.680164661636671
211,890.0,869.0,0.0,0.09188814518070462,0.06499096876314724,6388.270755865146,2.2816217121796303
215,860.0,249.0,0.0,0.08740671355167247,0.2629586985383178,6348.22032009299,0.8215712573126366
220,260.0,719.0,0.0,0.08906254747824936,1.2510241955728776,4550.233196139943,0.6498848539065639
224,780.0,619.0,0.0,0.09786943503424894,0.8889605552484852,4556.318553623192,0.7302870840971974
226,980.0,849.0,0.0,0.09339136750829702,0.01805446870059259,6684.167662715133,4.6051498291244055
227,340.0,619.0,0.0,0.12587906735418666,79.80540324246199,5942.9515955130055,0.5987581022259331
235,590.0,939.0,0.0,0.12810549378460648,7.401001590886924,5547.880217832516,1.359978504345676
236,800.0,299.0,0.0,0.131587097377226,208.69091968577183,5359.0501405319455,0.6165405306431903
246,680.0,69.0,0.0,0.0971040375157749,0.5637456521433403,7622.934286098789,1.2365016570380736
253,780.0,509.0,0.0,0.12480804423645213,4.979025627899924,4227.0701957167,0.6774247573096256
257,140.0,259.0,0.0,0.14377067945946215,5.710664841509902,5766.192150113729,1.015037812382984
258,890.0,349.0,0.0,0.13556649309471866,5.8490178756108815,6155.298167399851,0.8766637901637901
262,620.0,919.0,0.0,0.12461730340803262,15.539607697455356,6326.1022548675855,1.363742393234565
266,350.0,59.0,0.0,0.1064796643789586,0.11787175666294908,6536.9937881938695,1.8580493964053062
268,990.0,329.0,0.0,0.1275985516645098,4.2095474572527065,6383.97538471732,1.8186339031338998
269,750.0,779.0,0.0,0.13061794142763355,4.097217016771274,4581.055215567382,0.8200218328454423
